TxnDate,RefNumber,Account,Debit,Credit,Name,Memo
4/2/2025,33619,1330 · Vendor Receivable: Galderma,25,,5d965ce6-acc6-4762-870a-c2a6aa819343,Vendor receivable from Aspire Awards for invoice 00033619
4/2/2025,33619,Accounts Receivable,,25,5d965ce6-acc6-4762-870a-c2a6aa819343,Vendor receivable from Aspire Awards for invoice 00033619
4/2/2025,33621,1310 · Vendor Receivable: Allergan,50,,6b28dd4c-4819-4743-a931-f86544562c91,Vendor receivable from Alle Rewards for invoice 00033621
4/2/2025,33621,Accounts Receivable,,50,6b28dd4c-4819-4743-a931-f86544562c91,Vendor receivable from Alle Rewards for invoice 00033621
4/2/2025,33621,1330 · Vendor Receivable: Galderma,65,,6b28dd4c-4819-4743-a931-f86544562c91,Vendor receivable from Aspire Awards for invoice 00033621
4/2/2025,33621,Accounts Receivable,,65,6b28dd4c-4819-4743-a931-f86544562c91,Vendor receivable from Aspire Awards for invoice 00033621
4/2/2025,33621,1210 · Cherry Receivable,638.6,,6b28dd4c-4819-4743-a931-f86544562c91,Vendor receivable from Cherry for invoice 00033621
4/2/2025,33621,Accounts Receivable,,638.6,6b28dd4c-4819-4743-a931-f86544562c91,Vendor receivable from Cherry for invoice 00033621
4/2/2025,33634,1330 · Vendor Receivable: Galderma,20,,7a63c954-e1ee-417b-bb99-c460d8eded26,Vendor receivable from Aspire Awards for invoice 00033634
4/2/2025,33634,Accounts Receivable,,20,7a63c954-e1ee-417b-bb99-c460d8eded26,Vendor receivable from Aspire Awards for invoice 00033634
4/9/2025,33674,1330 · Vendor Receivable: Galderma,45,,37ec8873-53cd-4cca-88e6-b4da2c14c94f,Vendor receivable from Aspire Awards for invoice 00033674
4/9/2025,33674,Accounts Receivable,,45,37ec8873-53cd-4cca-88e6-b4da2c14c94f,Vendor receivable from Aspire Awards for invoice 00033674
4/9/2025,33675,1310 · Vendor Receivable: Allergan,30,,5d2c3c8d-a2c4-4f00-89cc-c1ea7ac625d4,Vendor receivable from Alle Rewards for invoice 00033675
4/9/2025,33675,Accounts Receivable,,30,5d2c3c8d-a2c4-4f00-89cc-c1ea7ac625d4,Vendor receivable from Alle Rewards for invoice 00033675
4/16/2025,33707,1330 · Vendor Receivable: Galderma,25,,d7b96e6c-bad5-4412-af08-2de57fbce0a6,Vendor receivable from Aspire Awards for invoice 00033707
4/16/2025,33707,Accounts Receivable,,25,d7b96e6c-bad5-4412-af08-2de57fbce0a6,Vendor receivable from Aspire Awards for invoice 00033707
